Date,dow_jones_index
2014-12-15,19600.0
2014-12-16,19290.0
2014-12-17,19170.0
2014-12-18,19700.0
2014-12-19,20300.0
2014-12-20,20320.0
2014-12-21,20320.0
2014-12-22,20340.0
2014-12-23,20525.0
2014-12-24,20710.0
2014-12-25,20690.0
2014-12-26,20690.0
2014-12-27,20605.0
2014-12-28,20605.0
2014-12-29,20520.0
2014-12-30,20620.0
2014-12-31,20565.0
2015-01-01,20565.0
2015-01-02,20565.0
2015-01-03,20565.0
2015-01-04,20565.0
2015-01-05,20510.0
2015-01-06,19850.0
2015-01-07,19820.0
2015-01-08,20300.0
2015-01-09,20230.0
2015-01-10,20155.0
2015-01-11,20155.0
2015-01-12,20155.0
2015-01-13,20080.0
2015-01-14,19630.0
2015-01-15,19720.0
2015-01-16,19190.0
2015-01-17,19300.0
2015-01-18,19300.0
2015-01-19,19410.0
2015-01-20,19820.0
2015-01-21,19780.0
2015-01-22,19740.0
2015-01-23,20030.0
2015-01-24,19915.0
2015-01-25,19915.0
2015-01-26,19800.0
2015-01-27,20040.0
2015-01-28,19910.0
2015-01-29,19380.0
2015-01-30,19560.0
2015-01-31,19430.0
2015-02-01,19430.0
2015-02-02,19300.0
2015-02-03,19290.0
2015-02-04,19680.0
2015-02-05,19590.0
2015-02-06,19700.0
2015-02-07,19875.0
2015-02-08,19875.0
2015-02-09,20050.0
2015-02-10,19990.0
2015-02-11,20160.0
2015-02-12,20330.0
2015-02-13,20200.0
2015-02-14,20265.0
2015-02-15,20265.0
2015-02-16,20330.0
2015-02-17,20385.0
2015-02-18,20440.0
2015-02-19,20160.0
2015-02-20,20190.0
2015-02-21,20315.0
2015-02-22,20315.0
2015-02-23,20440.0
2015-02-24,20450.0
2015-02-25,20480.0
2015-02-26,20560.0
2015-02-27,20690.0
2015-02-28,20695.0
2015-03-01,20695.0
2015-03-02,20700.0
2015-03-03,20700.0
2015-03-04,20700.0
2015-03-05,20700.0
2015-03-06,20680.0
2015-03-07,20615.0
2015-03-08,20615.0
2015-03-09,20550.0
2015-03-10,20670.0
2015-03-11,20620.0
2015-03-12,20610.0
2015-03-13,20690.0
2015-03-14,20625.0
2015-03-15,20625.0
2015-03-16,20560.0
2015-03-17,20730.0
2015-03-18,20730.0
2015-03-19,20670.0
2015-03-20,20650.0
2015-03-21,20635.0
2015-03-22,20635.0
2015-03-23,20620.0
2015-03-24,20580.0
2015-03-25,20410.0
2015-03-26,20100.0
2015-03-27,20010.0
2015-03-28,20070.0
2015-03-29,20070.0
2015-03-30,20130.0
2015-03-31,20350.0
2015-04-01,20050.0
2015-04-02,20140.0
2015-04-03,20040.0
2015-04-04,20040.0
2015-04-05,20040.0
2015-04-06,19940.0
2015-04-07,20160.0
2015-04-08,20300.0
2015-04-09,20350.0
2015-04-10,20440.0
2015-04-11,20480.0
2015-04-12,20480.0
2015-04-13,20520.0
2015-04-14,20420.0
2015-04-15,20420.0
2015-04-16,20420.0
2015-04-17,20390.0
2015-04-18,20245.0
2015-04-19,20245.0
2015-04-20,20100.0
2015-04-21,20370.0
2015-04-22,20280.0
2015-04-23,20390.0
2015-04-24,20400.0
2015-04-25,20410.0
2015-04-26,20410.0
2015-04-27,20420.0
2015-04-28,20410.0
2015-04-29,20330.0
2015-04-30,20250.0
2015-05-01,20240.0
2015-05-02,20195.0
2015-05-03,20195.0
2015-05-04,20195.0
2015-05-05,20195.0
2015-05-06,20195.0
2015-05-07,20150.0
2015-05-08,20370.0
2015-05-09,20480.0
2015-05-10,20480.0
2015-05-11,20590.0
2015-05-12,20490.0
2015-05-13,20500.0
2015-05-14,20480.0
2015-05-15,20590.0
2015-05-16,20580.0
2015-05-17,20580.0
2015-05-18,20570.0
2015-05-19,20640.0
2015-05-20,20770.0
2015-05-21,20810.0
2015-05-22,20930.0
2015-05-23,20925.0
2015-05-24,20925.0
2015-05-25,20920.0
2015-05-26,20890.0
2015-05-27,20900.0
2015-05-28,21230.0
2015-05-29,21250.0
2015-05-30,21315.0
2015-05-31,21315.0
2015-06-01,21380.0
2015-06-02,21280.0
2015-06-03,21080.0
2015-06-04,21075.0
2015-06-05,21070.0
2015-06-06,21085.0
2015-06-07,21085.0
2015-06-08,21100.0
2015-06-09,20870.0
